Gene
CFLAR
CALCOCO1
YPEL3
CST3
SERINC1
CLIP4
PCYOX1
TMEM59
RGS2
YPEL5
CD63
KIAA1109
CDH13
GSN
MR1
CYB5R1
AZGP1
ZFYVE1
DMXL1
EPS8L2
PTTG1IP
MIR22HG
PSAP
GOLGA8B
NEAT1
TXNIP
MTRNR2L12
