Gene
NCAPD2
PTBP1
MPHOSPH9
NUCKS1
TCOF1
SART3
SNRPA
KIF22
HSP90AA1
WBP11
CAD
SF3B2
KHSRP
WDR76
NUP188
HSP90AB1
HNRNPM
SMARCB1
PNN
RBBP7
NPRL3
USP10
SGTA
MRPL4
PSMD3
KPNB1
CBX1
LRRC59
TMEM97
NSD2
PRPF19
PTGES3
CPSF6
SRSF3
TCERG1
SMC4
EIF4G1
ZNF142
MSH6
MRPL37
SFPQ
STMN1
ARID1A
PROSER1
DDX39A
EXOSC9
USP22
DEK
DUT
ILF3
DNMT1
NASP
HMGB1P5
SRRM1
GNL2
RNF138
SRSF1
TRA2B
SMPD4
ANP32B
HMGA1
MDC1
HADH
ARHGDIA
PRCC
HDGF
SF3B4
UBAP2L
ILF2
PARP1
LBR
CNOT9
PPRC1
SSRP1
CCT5
DLAT
HNRNPU
LARP1
SCAF4
RRP1B
RRP1
CHCHD4
GMPS
RFC4
SLBP
PSIP1
HNRNPK
SKA3
DIS3L
USP39
GPS1
PA2G4
HCFC1
SLC19A1
ETV4
RAD23A
DCTPP1
RCC1
EWSR1
ALYREF
PTMA
HMGB1
POM121
MCMBP
TEAD4
CHAMP1
TOP1
PRRC2A
RBM14
HMGB1P6
POM121C
UHRF1
